text,affect,stems
fervor,anger,['fervor']
dominate,anger,['domin']
derision,anger,['deris']
spear,anger,['spear']
suppression,anger,['suppress']
animus,anger,['animus']
unruly,anger,['unruli']
disrupting,anger,['disrupt']
malpractice,anger,['malpractic']
defy,anger,['defi']
injustice,anger,['injustic']
antithesis,anger,['antithesi']
torture,fear,['tortur']
terrorist,fear,['terrorist']
horrific,fear,['horrif']
terrorism,fear,['terror']
terrorists,fear,['terrorist']
suicidebombing,fear,['suicidebomb']
kill,fear,['kill']
homicidal,fear,['homicid']
terror,fear,['terror']
murderer,fear,['murder']
catastrophe,fear,['catastroph']
annihilate,fear,['annihil']
dying,fear,['die']
war,fear,['war']
bombing,fear,['bomb']
bomb,fear,['bomb']
missiles,fear,['missil']
horror,fear,['horror']
horrified,fear,['horrifi']
terrorize,fear,['terror']
brutality,fear,['brutal']
bloodthirsty,fear,['bloodthirsti']
murderous,fear,['murder']
massacre,fear,['massacr']
horrifying,fear,['horrifi']
mutilation,fear,['mutil']
assassinate,fear,['assassin']
terrifying,fear,['terrifi']
fatality,fear,['fatal']
horrors,fear,['horror']
demon,fear,['demon']
murder,fear,['murder']
devastation,fear,['devast']
killing,fear,['kill']
terrified,fear,['terrifi']
holocaust,fear,['holocaust']
suicidal,fear,['suicid']
kidnap,fear,['kidnap']
crucifixion,fear,['crucifixion']
slaughter,fear,['slaughter']
assault,fear,['assault']
doomed,fear,['doom']
poisoned,fear,['poison']
suicide,fear,['suicid']
explosion,fear,['explos']
disastrous,fear,['disastr']
dismemberment,fear,['dismember']
annihilation,fear,['annihil']
savagery,fear,['savageri']
deadly,fear,['dead']
slaughtering,fear,['slaughter']
suffocation,fear,['suffoc']
disaster,fear,['disast']
threatening,fear,['threaten']
assassin,fear,['assassin']
rape,fear,['rape']
hell,fear,['hell']
slaughterhouse,fear,['slaughterhous']
guillotine,fear,['guillotin']
explosive,fear,['explos']
annihilated,fear,['annihil']
demonic,fear,['demon']
ihatespiders,fear,['ihatespid']
bloodshed,fear,['bloodsh']
dread,fear,['dread']
homicide,fear,['homicid']
barbaric,fear,['barbar']
anthrax,fear,['anthrax']
molestation,fear,['molest']
warfare,fear,['warfar']
peril,fear,['peril']
tragedy,fear,['tragedi']
attacking,fear,['attack']
paralyzed,fear,['paralyz']
executioner,fear,['execution']
suffocating,fear,['suffoc']
treachery,fear,['treacheri']
fright,fear,['fright']
apocalypse,fear,['apocalyps']
bombardment,fear,['bombard']
afraid,fear,['afraid']
frightening,fear,['frighten']
frightened,fear,['frighten']
scariest,fear,['scariest']
panicked,fear,['panick']
morgue,fear,['morgu']
traumatic,fear,['traumat']
execution,fear,['execut']
monster,fear,['monster']
vengeance,fear,['vengeanc']
destroying,fear,['destroy']
slayer,fear,['slayer']
abomination,fear,['abomin']
painful,fear,['pain']
drown,fear,['drown']
petrified,fear,['petrifi']
scare,fear,['scare']
death,fear,['death']
chaos,fear,['chao']
ghastly,fear,['ghast']
evil,fear,['evil']
explode,fear,['explod']
devil,fear,['devil']
fatal,fear,['fatal']
doomsday,fear,['doomsday']
doom,fear,['doom']
frighten,fear,['frighten']
cancer,fear,['cancer']
fear,fear,['fear']
nightmare,fear,['nightmar']
manslaughter,fear,['manslaught']
trauma,fear,['trauma']
eradication,fear,['erad']
gunmen,fear,['gunmen']
intruder,fear,['intrud']
brutal,fear,['brutal']
violently,fear,['violent']
grenade,fear,['grenad']
hellish,fear,['hellish']
assassination,fear,['assassin']
kidnapped,fear,['kidnap']
paralyze,fear,['paralyz']
morbidity,fear,['morbid']
crippling,fear,['crippl']
savage,fear,['savag']
violence,fear,['violenc']
destructive,fear,['destruct']
crushed,fear,['crush']
suffering,fear,['suffer']
violent,fear,['violent']
heartattack,fear,['heartattack']
damnation,fear,['damnat']
poisonous,fear,['poison']
aggressor,fear,['aggressor']
earthquake,fear,['earthquak']
shooting,fear,['shoot']
quake,fear,['quak']
frightful,fear,['fright']
hurricane,fear,['hurrican']
imprisoned,fear,['imprison']
exterminate,fear,['extermin']
fearing,fear,['fear']
hemorrhage,fear,['hemorrhag']
torment,fear,['torment']
lethal,fear,['lethal']
venom,fear,['venom']
claustrophobia,fear,['claustrophobia']
snakes,fear,['snake']
danger,fear,['danger']
robbery,fear,['robberi']
exorcism,fear,['exorc']
obliterated,fear,['obliter']
terrifies,fear,['terrifi']
extermination,fear,['extermin']
harmful,fear,['harm']
incurable,fear,['incur']
poison,fear,['poison']
cruelty,fear,['cruelti']
biggestfear,fear,['biggestfear']
mortality,fear,['mortal']
monstrosity,fear,['monstros']
destruction,fear,['destruct']
persecution,fear,['persecut']
anxietyattack,fear,['anxietyattack']
attack,fear,['attack']
hysteria,fear,['hysteria']
bombers,fear,['bomber']
cyanide,fear,['cyanid']
dreadfully,fear,['dread']
arson,fear,['arson']
devastate,fear,['devast']
tyrant,fear,['tyrant']
warcrimes,fear,['warcrim']
perish,fear,['perish']
feared,fear,['fear']
screaming,fear,['scream']
maniac,fear,['maniac']
freakingout,fear,['freakingout']
bloody,fear,['bloodi']
venomous,fear,['venom']
rampage,fear,['rampag']
enslaved,fear,['enslav']
warlike,fear,['warlik']
lifeless,fear,['lifeless']
snake,fear,['snake']
epidemic,fear,['epidem']
panicattack,fear,['panicattack']
dangerously,fear,['danger']
invader,fear,['invad']
crisis,fear,['crisi']
detonate,fear,['deton']
hazardous,fear,['hazard']
jihad,fear,['jihad']
die,fear,['die']
scary,fear,['scari']
invade,fear,['invad']
reprisal,fear,['repris']
obliterate,fear,['obliter']
riot,fear,['riot']
criminal,fear,['crimin']
tumor,fear,['tumor']
violation,fear,['violat']
fearful,fear,['fear']
inferno,fear,['inferno']
ohshit,fear,['ohshit']
shipwreck,fear,['shipwreck']
leprosy,fear,['leprosi']
claustrophobic,fear,['claustrophob']
hyperventilating,fear,['hyperventil']
nightmares,fear,['nightmar']
destroyed,fear,['destroy']
ghostly,fear,['ghost']
hurricanes,fear,['hurrican']
tyranny,fear,['tyranni']
panic,fear,['panic']
ptsd,fear,['ptsd']
dangerous,fear,['danger']
strangle,fear,['strangl']
tragedies,fear,['tragedi']
wrenching,fear,['wrench']
hazard,fear,['hazard']
destroyer,fear,['destroy']
projectiles,fear,['projectil']
cholera,fear,['cholera']
obliteration,fear,['obliter']
slavery,fear,['slaveri']
imprisonment,fear,['imprison']
agony,fear,['agoni']
anaconda,fear,['anaconda']
anarchist,fear,['anarchist']
treacherous,fear,['treacher']
riotous,fear,['riotous']
mortuary,fear,['mortuari']
dreadful,fear,['dread']
anarchy,fear,['anarchi']
fears,fear,['fear']
accident,fear,['accid']
malignancy,fear,['malign']
bombard,fear,['bombard']
cannibal,fear,['cannib']
abominable,fear,['abomin']
tyrannical,fear,['tyrann']
depraved,fear,['deprav']
mutiny,fear,['mutini']
scared,fear,['scare']
dictatorship,fear,['dictatorship']
beast,fear,['beast']
missile,fear,['missil']
cursed,fear,['curs']
melee,fear,['mele']
threaten,fear,['threaten']
hostage,fear,['hostag']
diseased,fear,['diseas']
gore,fear,['gore']
devilish,fear,['devilish']
malignant,fear,['malign']
misery,fear,['miseri']
horrible,fear,['horribl']
shot,fear,['shot']
bomber,fear,['bomber']
hyperventilate,fear,['hyperventil']
crash,fear,['crash']
gun,fear,['gun']
shoot,fear,['shoot']
victimized,fear,['victim']
paralysis,fear,['paralysi']
mafia,fear,['mafia']
tornado,fear,['tornado']
turmoil,fear,['turmoil']
combat,fear,['combat']
alligator,fear,['allig']
ruin,fear,['ruin']
shooter,fear,['shooter']
contagious,fear,['contagi']
miscarriage,fear,['miscarriag']
lynch,fear,['lynch']
desperation,fear,['desper']
casualty,fear,['casualti']
devastating,fear,['devast']
seizure,fear,['seizur']
starvation,fear,['starvat']
excruciating,fear,['excruci']
phobia,fear,['phobia']
harm,fear,['harm']
crime,fear,['crime']
emergency,fear,['emerg']
shock,fear,['shock']
fight,fear,['fight']
injured,fear,['injur']
scream,fear,['scream']
struggle,fear,['struggl']
havoc,fear,['havoc']
mortification,fear,['mortif']
frantically,fear,['frantic']
carnage,fear,['carnag']
standoff,fear,['standoff']
infestation,fear,['infest']
soscary,fear,['soscari']
panicking,fear,['panick']
rupture,fear,['ruptur']
frantic,fear,['frantic']
horrid,fear,['horrid']
burial,fear,['burial']
arsenic,fear,['arsenic']
neurotic,fear,['neurot']
carcinoma,fear,['carcinoma']
witchcraft,fear,['witchcraft']
hysterical,fear,['hyster']
deranged,fear,['derang']
prey,fear,['prey']
infectious,fear,['infecti']
assailant,fear,['assail']
sabotage,fear,['sabotag']
psychosis,fear,['psychosi']
hatred,fear,['hatr']
